name,youtube_url,date,court,duration_minutes
Tränare Söndag 15.00 våren 2026 2026-03-15 - Bana 10,https://www.youtube.com/watch?v=D4IC26yMVaE,2026-03-15 15:00,Bana 10,90
Tränare Söndag 15.00 våren 2026 2026-03-15 - Bana 7,https://www.youtube.com/watch?v=24P6pFwWbVo,2026-03-15 15:00,Bana 7,90
Tränare Söndag 15.00 våren 2026 2026-03-15 - Bana 8,https://www.youtube.com/watch?v=oSrcXNhLFB8,2026-03-15 15:00,Bana 8,90
Tränare Söndag 15.00 våren 2026 2026-03-15 - Bana 9,https://www.youtube.com/watch?v=mY76h3jsgtY,2026-03-15 15:00,Bana 9,90
Zirkon 2026-03-15,https://www.youtube.com/watch?v=uelVEMGbWuU,2026-03-15 13:30,Bana 4,90
Polaris 2026-03-15,https://www.youtube.com/watch?v=lygpPijHUhg,2026-03-15 13:30,Bana 7,90
Andromeda 2026-03-15,https://www.youtube.com/watch?v=Y7uOx2hhtec,2026-03-15 13:30,Bana 9,90
Onyx 2026-03-15,https://www.youtube.com/watch?v=HPSCTt1toFc,2026-03-15 12:00,Bana 4,90
Nebulosa 2026-03-15 - Bana 9,https://www.youtube.com/watch?v=_OG6UoI2_HE,2026-03-15 12:00,Bana 9,90
Nebulosa 2026-03-15 - Bana 10,https://www.youtube.com/watch?v=TE0dbc__VTE,2026-03-15 12:00,Bana 10,90
Final - Peter Kaznov / Vidar Hollinger vs Joakim Allard / Wilhelm Ek Tedefors,https://www.youtube.com/watch?v=c2gAPpgEHH4,2026-03-14 19:30,Bana 7,90
Final - Kajsa Edholm / Elin Engström vs Emilie Carlmark / Selma Åslund,https://www.youtube.com/watch?v=KOyTAAmugQU,2026-03-14 18:45,Bana 4,90
Semi 1 - Magnus Barck-Holst / Folke Barck-Holst vs Peter Kaznov / Vidar Hollinger,https://www.youtube.com/watch?v=TGxtRQNBwoQ,2026-03-14 18:45,Bana 9,90
Semi 2 - Vilgot Axland / Alexander Lindvall vs Joakim Allard / Wilhelm Ek Tedefors,https://www.youtube.com/watch?v=iHYaPyfr7x8,2026-03-14 18:45,Bana 7,90
Semi 1 - Freja Hiller / Olga Anheim vs Kajsa Edholm / Elin Engström,https://www.youtube.com/watch?v=bHTutMIAV0A,2026-03-14 18:00,Bana 4,90
Kvart 2 - Erik Båth / Fredrik Sköldberg vs Peter Kaznov / Vidar Hollinger,https://www.youtube.com/watch?v=54c_itclbew,2026-03-14 18:00,Bana 9,90
Kvart 3 - Vilgot Axland / Alexander Lindvall vs Jesper Thornberg / Boudjemaa Boumoussa,https://www.youtube.com/watch?v=LYRtLR9cYbA,2026-03-14 18:00,Bana 8,90
Kvart 4 - Joakim Allard / Wilhelm Ek Tedefors vs Daniel Wadskog / Leonardo Broman Klemming,https://www.youtube.com/watch?v=w7OD2rmYgVk,2026-03-14 18:00,Bana 7,90
Kvart 1 - Freja Hiller / Olga Anheim vs Ellen Dovrell Loge / Emma Wickholm,https://www.youtube.com/watch?v=a5Shn-xQMrs,2026-03-14 17:15,Bana 4,90
Åttondel 2 - Peter Kaznov / Vidar Hollinger vs Alexander Knutsson Fiskvatn / Melvin Barmyr,https://www.youtube.com/watch?v=ayaLF2RcIlI,2026-03-14 17:15,Bana 9,90
Åttondel 3 - Anton Aldebert / Elias Agnoletto Thorhard vs Jesper Thornberg / Boudjemaa Bou,https://www.youtube.com/watch?v=ud5bwxRwC8A,2026-03-14 17:15,Bana 8,90
Åttondel 4 - Daniel Wadskog / Leonardo Broman Klemming vs Henning Zettergren / Stefhan Jäg,https://www.youtube.com/watch?v=mk0ExbZiOj0,2026-03-14 17:15,Bana 7,90
Åttondel 1 - Tatiana Kuprina / Daniela Males vs Ellen Dovrell Loge / Emma Wickholm,https://www.youtube.com/watch?v=5U0RJNN8hwI,2026-03-14 16:30,Bana 4,90
Gruppspel - Vilgot Axland / Alexander Lindvall vs Paul Rhys / Rahul Sudhakara Menon,https://www.youtube.com/watch?v=ZUxGJmAsjRs,2026-03-14 16:30,Bana 8,90
Gruppspel - Erik Båth / Fredrik Sköldberg vs Daniel Wadskog / Leonardo Broman Klemming,https://www.youtube.com/watch?v=dmmuzOOQyQE,2026-03-14 16:30,Bana 9,90
Gruppspel - Hedwig Widegren / Viola Wikström vs Frida Nilzén / Malin Arnesson,https://www.youtube.com/watch?v=t1UUXN4FU40,2026-03-14 15:45,Bana 4,90
Gruppspel - Mattias Dammander Åberg / Sixten Dammander vs Sebastian Särnbrink / Noah Pauls,https://www.youtube.com/watch?v=cA2zYg_pT50,2026-03-14 15:45,Bana 8,90
Gruppspel - Andreas Hiller / David Sundström Sundström vs Angelos Chatziparasidis / Michae,https://www.youtube.com/watch?v=9XUPRrn36DM,2026-03-14 15:45,Bana 9,90
Gruppspel - Eva Baggström / Anna Baggström vs Jacqueline Jaconelli / Barbara Yano Alves,https://www.youtube.com/watch?v=gOKGuNVdkI4,2026-03-14 15:00,Bana 4,90
Gruppspel - Mattias Dammander Åberg / Sixten Dammander vs Vilgot Axland / Alexander Lindva,https://www.youtube.com/watch?v=AyrxF1vyMYQ,2026-03-14 15:00,Bana 8,90
Gruppspel - Andreas Hiller / David Sundström Sundström vs Erik Båth / Fredrik Sköldberg,https://www.youtube.com/watch?v=j2gKtKVeQGE,2026-03-14 15:00,Bana 9,90
